filepath,label,split
images\test\Cat\10144.jpg,Cat,test
images\test\Cat\10145.jpg,Cat,test
images\test\Cat\10146.jpg,Cat,test
images\test\Cat\10147.jpg,Cat,test
images\test\Cat\10148.jpg,Cat,test
images\test\Cat\10149.jpg,Cat,test
images\test\Cat\1015.jpg,Cat,test
images\test\Cat\10150.jpg,Cat,test
images\test\Cat\10151.jpg,Cat,test
images\test\Cat\10152.jpg,Cat,test
images\test\Cat\10153.jpg,Cat,test
images\test\Cat\10154.jpg,Cat,test
images\test\Cat\10155.jpg,Cat,test
images\test\Cat\10156.jpg,Cat,test
images\test\Cat\10157.jpg,Cat,test
images\test\Cat\10158.jpg,Cat,test
images\test\Cat\10159.jpg,Cat,test
images\test\Cat\1016.jpg,Cat,test
images\test\Cat\10160.jpg,Cat,test
images\test\Cat\10161.jpg,Cat,test
images\test\Cat\10162.jpg,Cat,test
images\test\Cat\10163.jpg,Cat,test
images\test\Cat\10164.jpg,Cat,test
images\test\Cat\10165.jpg,Cat,test
images\test\Cat\10166.jpg,Cat,test
images\test\Cat\10167.jpg,Cat,test
images\test\Cat\10168.jpg,Cat,test
images\test\Cat\10169.jpg,Cat,test
images\test\Cat\1017.jpg,Cat,test
images\test\Cat\10170.jpg,Cat,test
images\test\Cat\10171.jpg,Cat,test
images\test\Cat\10172.jpg,Cat,test
images\test\Cat\10173.jpg,Cat,test
images\test\Cat\10174.jpg,Cat,test
images\test\Cat\10175.jpg,Cat,test
images\test\Cat\10176.jpg,Cat,test
images\test\Cat\10177.jpg,Cat,test
images\test\Cat\10178.jpg,Cat,test
images\test\Cat\10179.jpg,Cat,test
images\test\Cat\1018.jpg,Cat,test
images\test\Cat\10180.jpg,Cat,test
images\test\Cat\10181.jpg,Cat,test
images\test\Cat\10182.jpg,Cat,test
images\test\Cat\10183.jpg,Cat,test
images\test\Cat\10184.jpg,Cat,test
images\test\Cat\10185.jpg,Cat,test
images\test\Cat\10186.jpg,Cat,test
images\test\Cat\10187.jpg,Cat,test
images\test\Cat\10188.jpg,Cat,test
images\test\Cat\10189.jpg,Cat,test
images\test\Cat\1019.jpg,Cat,test
images\test\Cat\10190.jpg,Cat,test
images\test\Cat\10191.jpg,Cat,test
images\test\Cat\10192.jpg,Cat,test
images\test\Cat\10193.jpg,Cat,test
images\test\Cat\10194.jpg,Cat,test
images\test\Cat\10195.jpg,Cat,test
images\test\Cat\10196.jpg,Cat,test
images\test\Cat\10197.jpg,Cat,test
images\test\Cat\10198.jpg,Cat,test
images\test\Cat\10199.jpg,Cat,test
images\test\Cat\102.jpg,Cat,test
images\test\Cat\1020.jpg,Cat,test
images\test\Cat\10200.jpg,Cat,test
images\test\Cat\10201.jpg,Cat,test
images\test\Cat\10202.jpg,Cat,test
images\test\Cat\10203.jpg,Cat,test
images\test\Cat\10204.jpg,Cat,test
images\test\Cat\10205.jpg,Cat,test
images\test\Cat\10206.jpg,Cat,test
images\test\Cat\10207.jpg,Cat,test
images\test\Cat\10208.jpg,Cat,test
images\test\Cat\10209.jpg,Cat,test
images\test\Cat\1021.jpg,Cat,test
images\test\Cat\10210.jpg,Cat,test
images\test\Cat\10211.jpg,Cat,test
images\test\Cat\10212.jpg,Cat,test
images\test\Cat\10213.jpg,Cat,test
images\test\Cat\10214.jpg,Cat,test
images\test\Cat\10215.jpg,Cat,test
images\test\Cat\10216.jpg,Cat,test
images\test\Cat\10217.jpg,Cat,test
images\test\Cat\10218.jpg,Cat,test
images\test\Cat\10219.jpg,Cat,test
images\test\Cat\1022.jpg,Cat,test
images\test\Cat\10220.jpg,Cat,test
images\test\Cat\10221.jpg,Cat,test
images\test\Cat\10222.jpg,Cat,test
images\test\Cat\10223.jpg,Cat,test
images\test\Cat\10224.jpg,Cat,test
images\test\Cat\10225.jpg,Cat,test
images\test\Cat\10226.jpg,Cat,test
images\test\Cat\10227.jpg,Cat,test
images\test\Cat\10228.jpg,Cat,test
images\test\Cat\10229.jpg,Cat,test
images\test\Cat\1023.jpg,Cat,test
images\test\Cat\10230.jpg,Cat,test
images\test\Cat\10231.jpg,Cat,test
images\test\Cat\10232.jpg,Cat,test
images\test\Cat\10233.jpg,Cat,test
images\test\Cat\10234.jpg,Cat,test
images\test\Cat\10235.jpg,Cat,test
images\test\Cat\10236.jpg,Cat,test
images\test\Cat\10237.jpg,Cat,test
images\test\Cat\10238.jpg,Cat,test
images\test\Cat\10239.jpg,Cat,test
images\test\Cat\1024.jpg,Cat,test
images\test\Cat\10240.jpg,Cat,test
images\test\Cat\10241.jpg,Cat,test
images\test\Cat\10242.jpg,Cat,test
images\test\Cat\10243.jpg,Cat,test
images\test\Cat\10244.jpg,Cat,test
images\test\Cat\10245.jpg,Cat,test
images\test\Cat\10246.jpg,Cat,test
images\test\Cat\10247.jpg,Cat,test
images\test\Cat\10248.jpg,Cat,test
images\test\Cat\10249.jpg,Cat,test
images\test\Cat\1025.jpg,Cat,test
images\test\Cat\10250.jpg,Cat,test
images\test\Cat\10251.jpg,Cat,test
images\test\Cat\10252.jpg,Cat,test
images\test\Cat\10253.jpg,Cat,test
images\test\Cat\10254.jpg,Cat,test
images\test\Cat\10255.jpg,Cat,test
images\test\Cat\10256.jpg,Cat,test
images\test\Cat\10257.jpg,Cat,test
images\test\Cat\10258.jpg,Cat,test
images\test\Cat\10259.jpg,Cat,test
images\test\Cat\1026.jpg,Cat,test
images\test\Cat\10260.jpg,Cat,test
images\test\Cat\10261.jpg,Cat,test
images\test\Cat\10262.jpg,Cat,test
images\test\Cat\10263.jpg,Cat,test
images\test\Cat\10264.jpg,Cat,test
images\test\Cat\10265.jpg,Cat,test
images\test\Cat\10266.jpg,Cat,test
images\test\Cat\10267.jpg,Cat,test
images\test\Cat\10268.jpg,Cat,test
images\test\Cat\10269.jpg,Cat,test
images\test\Cat\1027.jpg,Cat,test
images\test\Cat\10270.jpg,Cat,test
images\test\Cat\10271.jpg,Cat,test
images\test\Cat\10272.jpg,Cat,test
images\test\Cat\10273.jpg,Cat,test
images\test\Cat\10274.jpg,Cat,test
images\test\Cat\10275.jpg,Cat,test
images\test\Cat\10276.jpg,Cat,test
images\test\Cat\10277.jpg,Cat,test
images\test\Cat\10278.jpg,Cat,test
images\test\Cat\10279.jpg,Cat,test
images\test\Cat\1028.jpg,Cat,test
images\test\Cat\10280.jpg,Cat,test
images\test\Cat\10281.jpg,Cat,test
images\test\Cat\10282.jpg,Cat,test
images\test\Cat\10283.jpg,Cat,test
images\test\Cat\10284.jpg,Cat,test
images\test\Cat\10285.jpg,Cat,test
images\test\Cat\10286.jpg,Cat,test
images\test\Cat\10287.jpg,Cat,test
images\test\Cat\10288.jpg,Cat,test
images\test\Cat\10289.jpg,Cat,test
images\test\Cat\1029.jpg,Cat,test
images\test\Cat\10290.jpg,Cat,test
images\test\Cat\10291.jpg,Cat,test
images\test\Cat\10292.jpg,Cat,test
images\test\Cat\10293.jpg,Cat,test
images\test\Cat\10294.jpg,Cat,test
images\test\Cat\10295.jpg,Cat,test
images\test\Cat\10296.jpg,Cat,test
images\test\Cat\10297.jpg,Cat,test
images\test\Cat\10298.jpg,Cat,test
images\test\Cat\10299.jpg,Cat,test
images\test\Cat\103.jpg,Cat,test
images\test\Cat\1030.jpg,Cat,test
images\test\Cat\10300.jpg,Cat,test
images\test\Cat\10301.jpg,Cat,test
images\test\Cat\10302.jpg,Cat,test
images\test\Cat\10303.jpg,Cat,test
images\test\Cat\10304.jpg,Cat,test
images\test\Cat\10305.jpg,Cat,test
images\test\Cat\10306.jpg,Cat,test
images\test\Cat\10307.jpg,Cat,test
images\test\Cat\10308.jpg,Cat,test
images\test\Cat\10309.jpg,Cat,test
images\test\Cat\1031.jpg,Cat,test
images\test\Cat\10310.jpg,Cat,test
images\test\Cat\10311.jpg,Cat,test
images\test\Cat\10312.jpg,Cat,test
images\test\Cat\10313.jpg,Cat,test
images\test\Cat\10314.jpg,Cat,test
images\test\Cat\10315.jpg,Cat,test
images\test\Cat\10316.jpg,Cat,test
images\test\Cat\10317.jpg,Cat,test
images\test\Cat\10318.jpg,Cat,test
images\test\Cat\10319.jpg,Cat,test
images\test\Cat\1032.jpg,Cat,test
images\test\Cat\10320.jpg,Cat,test
images\test\Cat\10321.jpg,Cat,test
images\test\Cat\10322.jpg,Cat,test
images\test\Cat\10323.jpg,Cat,test
images\test\Cat\10324.jpg,Cat,test
images\test\Cat\10325.jpg,Cat,test
images\test\Cat\10326.jpg,Cat,test
images\test\Cat\10327.jpg,Cat,test
images\test\Cat\10328.jpg,Cat,test
images\test\Cat\10329.jpg,Cat,test
images\test\Cat\1033.jpg,Cat,test
images\test\Cat\10330.jpg,Cat,test
images\test\Cat\10331.jpg,Cat,test
images\test\Cat\10332.jpg,Cat,test
images\test\Cat\10333.jpg,Cat,test
images\test\Cat\10334.jpg,Cat,test
images\test\Cat\10335.jpg,Cat,test
images\test\Cat\10336.jpg,Cat,test
images\test\Cat\10337.jpg,Cat,test
images\test\Cat\10338.jpg,Cat,test
images\test\Cat\10339.jpg,Cat,test
images\test\Cat\1034.jpg,Cat,test
images\test\Cat\10340.jpg,Cat,test
images\test\Cat\10341.jpg,Cat,test
images\test\Cat\10342.jpg,Cat,test
images\test\Cat\10343.jpg,Cat,test
images\test\Cat\10344.jpg,Cat,test
images\test\Cat\10345.jpg,Cat,test
images\test\Cat\10346.jpg,Cat,test
images\test\Cat\10347.jpg,Cat,test
images\test\Cat\10348.jpg,Cat,test
images\test\Cat\10349.jpg,Cat,test
images\test\Cat\1035.jpg,Cat,test
images\test\Cat\10350.jpg,Cat,test
images\test\Cat\10351.jpg,Cat,test
images\test\Cat\10352.jpg,Cat,test
images\test\Cat\10353.jpg,Cat,test
images\test\Cat\10354.jpg,Cat,test
images\test\Cat\10355.jpg,Cat,test
images\test\Cat\10356.jpg,Cat,test
images\test\Cat\10357.jpg,Cat,test
images\test\Cat\10358.jpg,Cat,test
images\test\Cat\10359.jpg,Cat,test
images\test\Cat\1036.jpg,Cat,test
images\test\Cat\10360.jpg,Cat,test
images\test\Cat\10361.jpg,Cat,test
images\test\Cat\10362.jpg,Cat,test
images\test\Cat\10363.jpg,Cat,test
images\test\Cat\10364.jpg,Cat,test
images\test\Cat\10365.jpg,Cat,test
images\test\Cat\10366.jpg,Cat,test
images\test\Cat\10367.jpg,Cat,test
images\test\Cat\10368.jpg,Cat,test
images\test\Cat\10369.jpg,Cat,test
images\test\Cat\1037.jpg,Cat,test
images\test\Cat\10370.jpg,Cat,test
images\test\Cat\10371.jpg,Cat,test
images\test\Cat\10372.jpg,Cat,test
images\test\Cat\10373.jpg,Cat,test
images\test\Cat\10374.jpg,Cat,test
images\test\Cat\10375.jpg,Cat,test
images\test\Cat\10376.jpg,Cat,test
images\test\Cat\10377.jpg,Cat,test
images\test\Cat\10378.jpg,Cat,test
images\test\Cat\10379.jpg,Cat,test
images\test\Cat\1038.jpg,Cat,test
images\test\Cat\10380.jpg,Cat,test
images\test\Cat\10381.jpg,Cat,test
images\test\Cat\10382.jpg,Cat,test
images\test\Cat\10383.jpg,Cat,test
images\test\Cat\10384.jpg,Cat,test
images\test\Cat\10385.jpg,Cat,test
images\test\Cat\10386.jpg,Cat,test
images\test\Cat\10387.jpg,Cat,test
images\test\Cat\10388.jpg,Cat,test
images\test\Cat\10389.jpg,Cat,test
images\test\Cat\1039.jpg,Cat,test
images\test\Cat\10390.jpg,Cat,test
images\test\Cat\10391.jpg,Cat,test
images\test\Cat\10392.jpg,Cat,test
images\test\Cat\10393.jpg,Cat,test
images\test\Cat\10394.jpg,Cat,test
images\test\Cat\10395.jpg,Cat,test
images\test\Cat\10396.jpg,Cat,test
images\test\Cat\10397.jpg,Cat,test
images\test\Cat\10398.jpg,Cat,test
images\test\Cat\10399.jpg,Cat,test
images\test\Cat\104.jpg,Cat,test
images\test\Cat\1040.jpg,Cat,test
images\test\Cat\10400.jpg,Cat,test
images\test\Cat\10401.jpg,Cat,test
images\test\Cat\10402.jpg,Cat,test
images\test\Cat\10403.jpg,Cat,test
images\test\Cat\10404.jpg,Cat,test
images\test\Cat\10405.jpg,Cat,test
images\test\Cat\10406.jpg,Cat,test
images\test\Cat\10407.jpg,Cat,test
images\test\Cat\10408.jpg,Cat,test
images\test\Cat\10409.jpg,Cat,test
images\test\Cat\1041.jpg,Cat,test
images\test\Cat\10410.jpg,Cat,test
images\test\Cat\10411.jpg,Cat,test
images\test\Cat\10412.jpg,Cat,test
images\test\Cat\10413.jpg,Cat,test
images\test\Cat\10414.jpg,Cat,test
images\test\Cat\10415.jpg,Cat,test
images\test\Cat\10416.jpg,Cat,test
images\test\Cat\10417.jpg,Cat,test
images\test\Cat\10418.jpg,Cat,test
images\test\Cat\10419.jpg,Cat,test
images\test\Cat\1042.jpg,Cat,test
images\test\Cat\10420.jpg,Cat,test
images\test\Cat\10421.jpg,Cat,test
images\test\Cat\10422.jpg,Cat,test
images\test\Cat\10423.jpg,Cat,test
images\test\Cat\10424.jpg,Cat,test
images\test\Cat\10425.jpg,Cat,test
images\test\Cat\10426.jpg,Cat,test
images\test\Cat\10427.jpg,Cat,test
images\test\Cat\10428.jpg,Cat,test
images\test\Cat\10429.jpg,Cat,test
images\test\Cat\1043.jpg,Cat,test
images\test\Cat\10430.jpg,Cat,test
images\test\Cat\10431.jpg,Cat,test
images\test\Cat\10432.jpg,Cat,test
images\test\Cat\10433.jpg,Cat,test
images\test\Cat\10434.jpg,Cat,test
images\test\Cat\10435.jpg,Cat,test
images\test\Cat\10436.jpg,Cat,test
images\test\Cat\10437.jpg,Cat,test
images\test\Cat\10438.jpg,Cat,test
images\test\Cat\10439.jpg,Cat,test
images\test\Cat\1044.jpg,Cat,test
images\test\Cat\10440.jpg,Cat,test
images\test\Cat\10441.jpg,Cat,test
images\test\Cat\10442.jpg,Cat,test
images\test\Cat\10443.jpg,Cat,test
images\test\Cat\10444.jpg,Cat,test
images\test\Cat\10445.jpg,Cat,test
images\test\Cat\10446.jpg,Cat,test
images\test\Cat\10447.jpg,Cat,test
images\test\Cat\10448.jpg,Cat,test
images\test\Cat\10449.jpg,Cat,test
images\test\Cat\1045.jpg,Cat,test
images\test\Cat\10450.jpg,Cat,test
images\test\Cat\10451.jpg,Cat,test
images\test\Cat\10452.jpg,Cat,test
images\test\Cat\10453.jpg,Cat,test
images\test\Cat\10454.jpg,Cat,test
images\test\Cat\10455.jpg,Cat,test
images\test\Cat\10456.jpg,Cat,test
images\test\Cat\10457.jpg,Cat,test
images\test\Cat\10458.jpg,Cat,test
images\test\Cat\10459.jpg,Cat,test
images\test\Cat\1046.jpg,Cat,test
images\test\Cat\10460.jpg,Cat,test
images\test\Cat\10461.jpg,Cat,test
images\test\Cat\10462.jpg,Cat,test
images\test\Cat\10463.jpg,Cat,test
images\test\Cat\10464.jpg,Cat,test
images\test\Cat\10465.jpg,Cat,test
images\test\Cat\10466.jpg,Cat,test
images\test\Cat\10467.jpg,Cat,test
images\test\Cat\10468.jpg,Cat,test
images\test\Cat\10469.jpg,Cat,test
images\test\Cat\1047.jpg,Cat,test
images\test\Cat\10470.jpg,Cat,test
images\test\Cat\10471.jpg,Cat,test
images\test\Cat\10472.jpg,Cat,test
images\test\Cat\10473.jpg,Cat,test
images\test\Cat\10474.jpg,Cat,test
images\test\Cat\10475.jpg,Cat,test
images\test\Cat\10476.jpg,Cat,test
images\test\Cat\10477.jpg,Cat,test
images\test\Cat\10478.jpg,Cat,test
images\test\Cat\10479.jpg,Cat,test
images\test\Cat\1048.jpg,Cat,test
images\test\Cat\10480.jpg,Cat,test
images\test\Cat\10481.jpg,Cat,test
images\test\Cat\10482.jpg,Cat,test
images\test\Cat\10483.jpg,Cat,test
images\test\Cat\10484.jpg,Cat,test
images\test\Cat\10485.jpg,Cat,test
images\test\Cat\10486.jpg,Cat,test
images\test\Cat\10487.jpg,Cat,test
images\test\Cat\10488.jpg,Cat,test
images\test\Cat\10489.jpg,Cat,test
images\test\Cat\1049.jpg,Cat,test
images\test\Cat\10490.jpg,Cat,test
images\test\Cat\10491.jpg,Cat,test
images\test\Cat\10492.jpg,Cat,test
images\test\Cat\10493.jpg,Cat,test
images\test\Cat\10494.jpg,Cat,test
images\test\Cat\10495.jpg,Cat,test
images\test\Cat\10496.jpg,Cat,test
images\test\Cat\10497.jpg,Cat,test
images\test\Cat\10498.jpg,Cat,test
images\test\Cat\10499.jpg,Cat,test
images\test\Cat\105.jpg,Cat,test
images\test\Cat\1050.jpg,Cat,test
images\test\Cat\10500.jpg,Cat,test
images\test\Cat\10501.jpg,Cat,test
images\test\Cat\10502.jpg,Cat,test
images\test\Cat\10503.jpg,Cat,test
images\test\Cat\10504.jpg,Cat,test
images\test\Cat\10505.jpg,Cat,test
images\test\Cat\10506.jpg,Cat,test
images\test\Cat\10507.jpg,Cat,test
images\test\Cat\10508.jpg,Cat,test
images\test\Cat\10509.jpg,Cat,test
images\test\Cat\1051.jpg,Cat,test
images\test\Cat\10510.jpg,Cat,test
images\test\Cat\10511.jpg,Cat,test
images\test\Cat\10512.jpg,Cat,test
images\test\Cat\10513.jpg,Cat,test
images\test\Cat\10514.jpg,Cat,test
images\test\Cat\10515.jpg,Cat,test
images\test\Cat\10516.jpg,Cat,test
images\test\Cat\10517.jpg,Cat,test
images\test\Cat\10518.jpg,Cat,test
images\test\Cat\10519.jpg,Cat,test
images\test\Cat\1052.jpg,Cat,test
images\test\Cat\10520.jpg,Cat,test
images\test\Cat\10521.jpg,Cat,test
images\test\Cat\10522.jpg,Cat,test
images\test\Cat\10523.jpg,Cat,test
images\test\Cat\10524.jpg,Cat,test
images\test\Cat\10525.jpg,Cat,test
images\test\Cat\10526.jpg,Cat,test
images\test\Cat\10527.jpg,Cat,test
images\test\Cat\10528.jpg,Cat,test
images\test\Cat\10529.jpg,Cat,test
images\test\Cat\1053.jpg,Cat,test
images\test\Cat\10530.jpg,Cat,test
images\test\Cat\10531.jpg,Cat,test
images\test\Cat\10532.jpg,Cat,test
images\test\Cat\10533.jpg,Cat,test
images\test\Cat\10534.jpg,Cat,test
images\test\Cat\10535.jpg,Cat,test
images\test\Cat\10536.jpg,Cat,test
images\test\Cat\10537.jpg,Cat,test
images\test\Cat\10538.jpg,Cat,test
images\test\Cat\10539.jpg,Cat,test
images\test\Cat\1054.jpg,Cat,test
images\test\Cat\10540.jpg,Cat,test
images\test\Cat\10541.jpg,Cat,test
images\test\Cat\10542.jpg,Cat,test
images\test\Cat\10543.jpg,Cat,test
images\test\Cat\10544.jpg,Cat,test
images\test\Cat\10545.jpg,Cat,test
images\test\Cat\10546.jpg,Cat,test
images\test\Cat\10547.jpg,Cat,test
images\test\Cat\10548.jpg,Cat,test
images\test\Cat\10549.jpg,Cat,test
images\test\Cat\1055.jpg,Cat,test
images\test\Cat\10550.jpg,Cat,test
images\test\Cat\10551.jpg,Cat,test
images\test\Cat\10552.jpg,Cat,test
images\test\Cat\10553.jpg,Cat,test
images\test\Cat\10554.jpg,Cat,test
images\test\Cat\10555.jpg,Cat,test
images\test\Cat\10556.jpg,Cat,test
images\test\Cat\10557.jpg,Cat,test
images\test\Cat\10558.jpg,Cat,test
images\test\Cat\10559.jpg,Cat,test
images\test\Cat\1056.jpg,Cat,test
images\test\Cat\10560.jpg,Cat,test
images\test\Cat\10561.jpg,Cat,test
images\test\Cat\10562.jpg,Cat,test
images\test\Cat\10563.jpg,Cat,test
images\test\Cat\10564.jpg,Cat,test
images\test\Cat\10565.jpg,Cat,test
images\test\Cat\10566.jpg,Cat,test
images\test\Cat\10567.jpg,Cat,test
images\test\Cat\10568.jpg,Cat,test
images\test\Cat\10569.jpg,Cat,test
images\test\Cat\1057.jpg,Cat,test
images\test\Cat\10570.jpg,Cat,test
images\test\Cat\10571.jpg,Cat,test
images\test\Cat\10572.jpg,Cat,test
images\test\Cat\10573.jpg,Cat,test
images\test\Cat\10574.jpg,Cat,test
images\test\Cat\10575.jpg,Cat,test
images\test\Cat\10576.jpg,Cat,test
images\test\Cat\10577.jpg,Cat,test
images\test\Cat\10578.jpg,Cat,test
images\test\Cat\10579.jpg,Cat,test
images\test\Cat\1058.jpg,Cat,test
images\test\Cat\10580.jpg,Cat,test
images\test\Cat\10581.jpg,Cat,test
images\test\Cat\10582.jpg,Cat,test
images\test\Cat\10583.jpg,Cat,test
images\test\Cat\10584.jpg,Cat,test
images\test\Cat\10585.jpg,Cat,test
images\test\Cat\10586.jpg,Cat,test
images\test\Cat\10587.jpg,Cat,test
images\test\Cat\10588.jpg,Cat,test
images\test\Cat\10589.jpg,Cat,test
images\test\Cat\1059.jpg,Cat,test
images\test\Cat\10590.jpg,Cat,test
images\test\Cat\10591.jpg,Cat,test
images\test\Cat\10592.jpg,Cat,test
images\test\Cat\10593.jpg,Cat,test
images\test\Cat\10594.jpg,Cat,test
images\test\Cat\10595.jpg,Cat,test
images\test\Cat\10596.jpg,Cat,test
